readtime,sub_section,subsub_section,url
12.535,Common web application tools,,https://docs.djangoproject.com/en/5.1/ref/contrib/auth/
18.76,Common web application tools,Password management in Django,https://docs.djangoproject.com/en/5.1/topics/auth/passwords/
39.645,Common web application tools,Using the Django authentication system,https://docs.djangoproject.com/en/5.1/topics/auth/default/
26.695,The model layer,Databases,https://docs.djangoproject.com/en/5.1/ref/databases/
28.365,Common web application tools,Customizing authentication in Django,https://docs.djangoproject.com/en/5.1/topics/auth/customizing/
1.66,Common web application tools,User authentication in Django,https://docs.djangoproject.com/en/5.1/topics/auth/
5.81,Security,Cryptographic signing,https://docs.djangoproject.com/en/5.1/topics/signing/
22.045,The model layer,How to create custom model fields,https://docs.djangoproject.com/en/5.1/howto/custom-model-fields/
2.85,Security,Clickjacking Protection,https://docs.djangoproject.com/en/5.1/ref/clickjacking/
6.57,Security,Cross Site Request Forgery protection,https://docs.djangoproject.com/en/5.1/ref/csrf/
13.71,Security,Archive of security issues,https://docs.djangoproject.com/en/5.1/releases/security/
9.275,Security,Security in Django,https://docs.djangoproject.com/en/5.1/topics/security/
11.065,The admin,Admin actions,https://docs.djangoproject.com/en/5.1/ref/contrib/admin/actions/
2.725,The admin,The Django admin documentation generator,https://docs.djangoproject.com/en/5.1/ref/contrib/admin/admindocs/
79.36,The admin,The Django admin site,https://docs.djangoproject.com/en/5.1/ref/contrib/admin/
6.09,The development process,Deployment checklist,https://docs.djangoproject.com/en/5.1/howto/deployment/checklist/
3.17,The development process,How to deploy static files,https://docs.djangoproject.com/en/5.1/howto/static-files/deployment/
8.8,The development process,How to manage error reporting,https://docs.djangoproject.com/en/5.1/howto/error-reporting/
1.755,The development process,How to deploy with ASGI,https://docs.djangoproject.com/en/5.1/howto/deployment/asgi/
1.475,The development process,How to deploy Django,https://docs.djangoproject.com/en/5.1/howto/deployment/
1.905,The development process,How to deploy with WSGI,https://docs.djangoproject.com/en/5.1/howto/deployment/wsgi/
53.53,The development process,Testing tools,https://docs.djangoproject.com/en/5.1/topics/testing/tools/
10.27,The development process,Writing and running tests,https://docs.djangoproject.com/en/5.1/topics/testing/overview/
1.0,The development process,Testing in Django,https://docs.djangoproject.com/en/5.1/topics/testing/
8.68,The development process,"How to create custom , commands",https://docs.djangoproject.com/en/5.1/howto/custom-management-commands/
43.08,The development process," and ,Running management commands from your code",https://docs.djangoproject.com/en/5.1/ref/django-admin/
5.05,The development process,Django Exceptions,https://docs.djangoproject.com/en/5.1/ref/exceptions/
20.85,The development process,Advanced testing topics,https://docs.djangoproject.com/en/5.1/topics/testing/advanced/
62.855,The development process,Settings,https://docs.djangoproject.com/en/5.1/ref/settings/
6.47,The development process,Django settings,https://docs.djangoproject.com/en/5.1/topics/settings/
11.625,Forms,Form and field validation,https://docs.djangoproject.com/en/5.1/ref/forms/validation/
11.975,The development process,Applications,https://docs.djangoproject.com/en/5.1/ref/applications/
23.645,Forms,Formsets,https://docs.djangoproject.com/en/5.1/topics/forms/formsets/
30.475,Forms,Creating forms from models,https://docs.djangoproject.com/en/5.1/topics/forms/modelforms/
9.545,Forms,"Form Assets (the , class)",https://docs.djangoproject.com/en/5.1/topics/forms/media/
35.915,Forms,The Forms API,https://docs.djangoproject.com/en/5.1/ref/forms/api/
23.17,Forms,Working with forms,https://docs.djangoproject.com/en/5.1/topics/forms/
20.95,Forms,Widgets,https://docs.djangoproject.com/en/5.1/ref/forms/widgets/
31.79,Forms,Form fields,https://docs.djangoproject.com/en/5.1/ref/forms/fields/
3.845,The template layer,How to implement a custom template backend,https://docs.djangoproject.com/en/5.1/howto/custom-template-backend/
31.805,The template layer,How to create custom template tags and filters,https://docs.djangoproject.com/en/5.1/howto/custom-template-tags/
23.67,The template layer,The Django template language: for Python programmers,https://docs.djangoproject.com/en/5.1/ref/templates/api/
2.615,The template layer,,https://docs.djangoproject.com/en/5.1/ref/contrib/humanize/
54.935,The template layer,Built-in template tags and filters,https://docs.djangoproject.com/en/5.1/ref/templates/builtins/
13.86,The template layer,Templates,https://docs.djangoproject.com/en/5.1/topics/templates/
13.705,The view layer,Middleware,https://docs.djangoproject.com/en/5.1/ref/middleware/
2.8,The view layer,How to create PDF files,https://docs.djangoproject.com/en/5.1/howto/outputting-pdf/
18.88,The template layer,The Django template language,https://docs.djangoproject.com/en/5.1/ref/templates/language/
10.97,The view layer,Middleware,https://docs.djangoproject.com/en/5.1/topics/http/middleware/
4.75,The view layer,Class-based generic views - flattened index,https://docs.djangoproject.com/en/5.1/ref/class-based-views/flattened-index/
4.355,The view layer,How to create CSV output,https://docs.djangoproject.com/en/5.1/howto/outputting-csv/
11.665,The view layer,Built-in class-based generic views,https://docs.djangoproject.com/en/5.1/topics/class-based-views/generic-display/
1.935,The view layer,Built-in class-based views API,https://docs.djangoproject.com/en/5.1/ref/class-based-views/
4.005,The view layer,Class-based views,https://docs.djangoproject.com/en/5.1/topics/class-based-views/
4.935,The view layer,Form handling with class-based views,https://docs.djangoproject.com/en/5.1/topics/class-based-views/generic-editing/
16.66,The view layer,Using mixins with class-based views,https://docs.djangoproject.com/en/5.1/topics/class-based-views/mixins/
5.01,The view layer,File storage API,https://docs.djangoproject.com/en/5.1/ref/files/storage/
3.08,The view layer,"The , object",https://docs.djangoproject.com/en/5.1/ref/files/file/
3.54,The view layer,How to write a custom storage class,https://docs.djangoproject.com/en/5.1/howto/custom-file-storage/
5.96,The view layer,Managing files,https://docs.djangoproject.com/en/5.1/topics/files/
8.315,The view layer,File Uploads,https://docs.djangoproject.com/en/5.1/topics/http/file-uploads/
6.445,The view layer, and ,https://docs.djangoproject.com/en/5.1/ref/template-response/
29.22,The view layer,Request and response objects,https://docs.djangoproject.com/en/5.1/ref/request-response/
4.04,The view layer,Built-in Views,https://docs.djangoproject.com/en/5.1/ref/views/
10.64,The view layer,Asynchronous support,https://docs.djangoproject.com/en/5.1/topics/async/
2.965,The view layer,View decorators,https://docs.djangoproject.com/en/5.1/topics/http/decorators/
4.915,The view layer,Django shortcut functions,https://docs.djangoproject.com/en/5.1/topics/http/shortcuts/
1.39,The model layer,,https://docs.djangoproject.com/en/5.1/ref/contrib/postgres/
5.355,The view layer,Writing views,https://docs.djangoproject.com/en/5.1/topics/http/views/
22.38,The view layer,URL dispatcher,https://docs.djangoproject.com/en/5.1/topics/http/urls/
11.7,The model layer,Database access optimization,https://docs.djangoproject.com/en/5.1/topics/db/optimization/
1.815,The model layer,How to integrate Django with a legacy database,https://docs.djangoproject.com/en/5.1/howto/legacy-databases/
2.31,The model layer,How to provide initial data for models,https://docs.djangoproject.com/en/5.1/howto/initial-data/
26.135,The model layer,Migrations,https://docs.djangoproject.com/en/5.1/topics/migrations/
5.38,The model layer,Related objects reference,https://docs.djangoproject.com/en/5.1/ref/models/relations/
5.4,The model layer,Lookup API reference,https://docs.djangoproject.com/en/5.1/ref/models/lookups/
26.045,The model layer,Model instance reference,https://docs.djangoproject.com/en/5.1/ref/models/instances/
48.44,The model layer,Making queries,https://docs.djangoproject.com/en/5.1/topics/db/queries/
1.19,The model layer,Model class reference,https://docs.djangoproject.com/en/5.1/ref/models/class/
10.42,The model layer,"Model , options",https://docs.djangoproject.com/en/5.1/ref/models/options/
57.55,The model layer,"Model field reference,Field attribute reference",https://docs.djangoproject.com/en/5.1/ref/models/fields/
4.465,The model layer,Model index reference,https://docs.djangoproject.com/en/5.1/ref/models/indexes/
103.72,The model layer, API reference,https://docs.djangoproject.com/en/5.1/ref/models/querysets/
20.67,The model layer,Multiple databases,https://docs.djangoproject.com/en/5.1/topics/db/multi-db/
